Year;Month;Temperature;Precipitation
1947;1;-3;79.6
1947;2;-1.9;43.6
1947;3;4.9;80.3
1947;4;11.5;31.7
1947;5;14.8;88.7
1947;6;18.2;106.4
1947;7;19.7;79.1
1947;8;19.5;135.5
1947;9;16;49.4
1947;10;8.8;35.8
1947;11;6.4;151.2
1947;12;2;96.9
1948;1;3.7;129.8
1948;2;2;64.3
1948;3;7.9;20
1948;4;9.5;59
1948;5;14.2;58.2
1948;6;15.5;172.2
1948;7;14.8;219.6
1948;8;16.6;138.2
1948;9;13.2;103.3
1948;10;9.3;41.6
1948;11;4.1;48.5
1948;12;0.2;26.1
1949;1;0.2;59
1949;2;1.1;23.1
1949;3;3.1;70
1949;4;11.6;104.5
1949;5;11.3;95.1
1949;6;16.1;79.5
1949;7;19.5;44.1
1949;8;17.8;88.8
1949;9;16.6;91.7
1949;10;10.9;33.5
1949;11;3.9;61.7
1949;12;3;79.9
1950;1;-0.1;60.4
1950;2;3.5;65.3
1950;3;5.4;33.4
1950;4;7.4;134.2
1950;5;14.5;151
1950;6;18.5;145.9
1950;7;20.1;111.9
1950;8;17.3;182.6
1950;9;13.1;148.6
1950;10;8.5;27.4
1950;11;4.3;206.6
1950;12;-1.7;53.1
1951;1;1.4;47.1
1951;2;2.6;90.2
1951;3;3.7;97.5
1951;4;8.4;78.1
1951;5;12.1;109.6
1951;6;15.5;183.6
1951;7;17.9;224.4
1951;8;16.7;145.4
1951;9;14.4;123.5
1951;10;7.4;61.2
1951;11;5.9;99.4
1951;12;0;58.9
1952;1;-0.5;79.2
1952;2;-0.9;88.3
1952;3;5.6;81.5
1952;4;10.5;77.4
1952;5;14;71.7
1952;6;17.1;156.7
1952;7;20.2;79.1
1952;8;18.1;141.9
1952;9;11;117.9
1952;10;8.2;138.5
1952;11;3.3;138.4
1952;12;0.7;124.4
1953;1;-2.3;48
1953;2;0;16.2
1953;3;5.5;25.9
1953;4;9.7;133
1953;5;14.5;120.3
1953;6;14.6;248.2
1953;7;17.9;216.4
1953;8;17.1;113.4
1953;9;14.2;102.9
1953;10;9.6;39.9
1953;11;2.7;32.3
1953;12;1.7;43.6
1954;1;-2;75.6
1954;2;-1;76
1954;3;6.2;18
1954;4;6.4;85.9
1954;5;11.6;164
1954;6;15.8;122.7
1954;7;15.5;121.8
1954;8;15.3;209.7
1954;9;14.1;211
1954;10;9.1;72.3
1954;11;5;45.5
1954;12;3.5;80
1955;1;0.5;110.7
1955;2;1.4;103.5
1955;3;2.6;58.6
1955;4;8.9;49.6
1955;5;12.1;156.7
1955;6;15.8;138.9
1955;7;17;295.6
1955;8;16;188.9
